"val";"name"
1159;"Powiat bocheński"
4982;"Powiat krakowski"
868;"Powiat miechowski"
1732;"Powiat myślenicki"
890;"Powiat proszowicki"
2049;"Powiat wielicki"
11978;"Powiat m. Kraków"
2363;"Powiat gorlicki"
3696;"Powiat limanowski"
6547;"Powiat nowosądecki"
1695;"Powiat m. Nowy Sącz"
2708;"Powiat chrzanowski"
3243;"Powiat olkuski"
2727;"Powiat oświęcimski"
3048;"Powiat wadowicki"
1713;"Powiat brzeski"
2212;"Powiat dąbrowski"
4361;"Powiat tarnowski"
2316;"Powiat m. Tarnów"
3834;"Powiat nowotarski"
1423;"Powiat suski"
2225;"Powiat tatrzański"
1915;"Powiat bielski"
3359;"Powiat cieszyński"
2571;"Powiat żywiecki"
1975;"Powiat m. Bielsko-Biała"
1506;"Powiat lubliniecki"
2447;"Powiat tarnogórski"
3901;"Powiat m. Bytom"
1113;"Powiat m. Piekary Śląskie"
2730;"Powiat częstochowski"
2275;"Powiat kłobucki"
1685;"Powiat myszkowski"
3760;"Powiat m. Częstochowa"
1441;"Powiat gliwicki"
2679;"Powiat m. Gliwice"
2374;"Powiat m. Zabrze"
1450;"Powiat m. Chorzów"
2849;"Powiat m. Katowice"
1234;"Powiat m. Mysłowice"
1194;"Powiat m. Ruda Śląska"
948;"Powiat m. Siemianowice Śląskie"
571;"Powiat m. Świętochłowice"
1522;"Powiat raciborski"
859;"Powiat rybnicki"
2338;"Powiat wodzisławski"
1128;"Powiat m. Jastrzębie-Zdrój"
1552;"Powiat m. Rybnik"
752;"Powiat m. Żory"
2677;"Powiat będziński"
2104;"Powiat zawierciański"
2624;"Powiat m. Dąbrowa Górnicza"
1368;"Powiat m. Jaworzno"
3658;"Powiat m. Sosnowiec"
1104;"Powiat mikołowski"
1404;"Powiat pszczyński"
448;"Powiat bieruńsko-lędziński"
1163;"Powiat m. Tychy"
847;"Powiat gorzowski"
1428;"Powiat międzyrzecki"
388;"Powiat słubicki"
1526;"Powiat strzelecko-drezdenecki"
479;"Powiat sulęciński"
1402;"Powiat m. Gorzów Wielkopolski"
1032;"Powiat krośnieński"
1601;"Powiat nowosolski"
713;"Powiat świebodziński"
1832;"Powiat zielonogórski"
1114;"Powiat żagański"
1528;"Powiat żarski"
932;"Powiat wschowski"
1936;"Powiat m. Zielona Góra"
1316;"Powiat jarociński"
984;"Powiat kaliski"
644;"Powiat kępiński"
1124;"Powiat krotoszyński"
2084;"Powiat ostrowski"
817;"Powiat ostrzeszowski"
897;"Powiat pleszewski"
1627;"Powiat m. Kalisz"
2484;"Powiat gnieźnieński"
1012;"Powiat kolski"
3583;"Powiat koniński"
1572;"Powiat słupecki"
1299;"Powiat turecki"
1522;"Powiat wrzesiński"
1946;"Powiat m. Konin"
1642;"Powiat gostyński"
1008;"Powiat grodziski"
920;"Powiat kościański"
649;"Powiat leszczyński"
636;"Powiat międzychodzki"
843;"Powiat nowotomyski"
926;"Powiat rawicki"
577;"Powiat wolsztyński"
988;"Powiat m. Leszno"
1272;"Powiat chodzieski"
1478;"Powiat czarnkowsko-trzcianecki"
2446;"Powiat pilski"
1364;"Powiat wągrowiecki"
1612;"Powiat złotowski"
808;"Powiat obornicki"
2443;"Powiat poznański"
1258;"Powiat szamotulski"
1480;"Powiat średzki"
686;"Powiat śremski"
4099;"Powiat m. Poznań"
2586;"Powiat białogardzki"
568;"Powiat kołobrzeski"
2446;"Powiat koszaliński"
2208;"Powiat sławieński"
2527;"Powiat m. Koszalin"
1895;"Powiat choszczeński"
2037;"Powiat drawski"
1238;"Powiat myśliborski"
1288;"Powiat pyrzycki"
3636;"Powiat szczecinecki"
1700;"Powiat świdwiński"
1304;"Powiat wałecki"
1568;"Powiat łobeski"
6167;"Powiat m. Szczecin"
1218;"Powiat goleniowski"
1348;"Powiat gryficki"
1797;"Powiat gryfiński"
1865;"Powiat kamieński"
1107;"Powiat policki"
2778;"Powiat stargardzki"
600;"Powiat m. Świnoujście"
1098;"Powiat bolesławiecki"
1646;"Powiat jaworski"
1701;"Powiat karkonoski"
840;"Powiat kamiennogórski"
1109;"Powiat lubański"
1093;"Powiat lwówecki"
1399;"Powiat zgorzelecki"
1744;"Powiat złotoryjski"
1186;"Powiat m. Jelenia Góra"
1809;"Powiat głogowski"
1356;"Powiat górowski"
1679;"Powiat legnicki"
1334;"Powiat lubiński"
1558;"Powiat polkowicki"
2252;"Powiat m. Legnica"
1688;"Powiat dzierżoniowski"
5636;"Powiat kłodzki"
3460;"Powiat świdnicki"
1561;"Powiat wałbrzyski"
1920;"Powiat ząbkowicki"
1907;"Powiat m. Wałbrzych od 2013"
822;"Powiat milicki"
2354;"Powiat oleśnicki"
1657;"Powiat oławski"
1467;"Powiat strzeliński"
1054;"Powiat średzki"
1445;"Powiat trzebnicki"
1842;"Powiat wołowski"
1343;"Powiat wrocławski"
6647;"Powiat m. Wrocław"
2550;"Powiat brzeski"
1327;"Powiat głubczycki"
1321;"Powiat namysłowski"
3228;"Powiat nyski"
1595;"Powiat prudnicki"
2313;"Powiat kędzierzyńsko-kozielski"
1451;"Powiat kluczborski"
1303;"Powiat krapkowicki"
1088;"Powiat oleski"
2020;"Powiat opolski"
1092;"Powiat strzelecki"
2387;"Powiat m. Opole"
1537;"Powiat bydgoski"
3106;"Powiat toruński"
3956;"Powiat m. Bydgoszcz"
3190;"Powiat m. Toruń"
2051;"Powiat brodnicki"
2063;"Powiat chełmiński"
1882;"Powiat golubsko-dobrzyński"
1534;"Powiat grudziądzki"
1308;"Powiat rypiński"
1487;"Powiat wąbrzeski"
3029;"Powiat m. Grudziądz"
2150;"Powiat aleksandrowski"
2901;"Powiat lipnowski"
2145;"Powiat radziejowski"
3960;"Powiat włocławski"
3595;"Powiat m. Włocławek"
6132;"Powiat inowrocławski"
1673;"Powiat mogileński"
2849;"Powiat nakielski"
2110;"Powiat żniński"
1514;"Powiat sępoleński"
2204;"Powiat świecki"
1711;"Powiat tucholski"
1836;"Powiat gdański"
1764;"Powiat kartuski"
1272;"Powiat nowodworski"
1775;"Powiat pucki"
3738;"Powiat wejherowski"
2822;"Powiat bytowski"
2336;"Powiat lęborski"
2555;"Powiat słupski"
1464;"Powiat m. Słupsk"
1937;"Powiat kwidzyński"
1606;"Powiat malborski"
2710;"Powiat starogardzki"
2504;"Powiat tczewski"
672;"Powiat sztumski"
6526;"Powiat m. Gdańsk"
2546;"Powiat m. Gdynia"
368;"Powiat m. Sopot"
3272;"Powiat chojnicki"
1909;"Powiat człuchowski"
1961;"Powiat kościerski"
2056;"Powiat braniewski"
2918;"Powiat działdowski"
2603;"Powiat elbląski"
1584;"Powiat iławski"
1786;"Powiat nowomiejski"
3089;"Powiat ostródzki"
2800;"Powiat m. Elbląg"
3447;"Powiat ełcki"
1584;"Powiat giżycki"
1404;"Powiat olecki"
1993;"Powiat piski"
741;"Powiat gołdapski"
794;"Powiat węgorzewski"
2921;"Powiat bartoszycki"
3058;"Powiat kętrzyński"
1457;"Powiat lidzbarski"
1590;"Powiat mrągowski"
708;"Powiat nidzicki"
3050;"Powiat olsztyński"
1902;"Powiat szczycieński"
1847;"Powiat m. Olsztyn"
1774;"Powiat łódzki wschodni"
2726;"Powiat pabianicki"
3546;"Powiat zgierski"
841;"Powiat brzeziński"
16155;"Powiat m. Łódź"
2549;"Powiat bełchatowski"
2059;"Powiat opoczyński"
1856;"Powiat piotrkowski"
2222;"Powiat radomszczański"
3535;"Powiat tomaszowski"
1764;"Powiat m. Piotrków Trybunalski"
1283;"Powiat łaski"
1405;"Powiat pajęczański"
1136;"Powiat poddębicki"
2438;"Powiat sieradzki"
1798;"Powiat wieluński"
948;"Powiat wieruszowski"
1688;"Powiat zduńskowolski"
2995;"Powiat kutnowski"
1162;"Powiat łęczycki"
1455;"Powiat łowicki"
634;"Powiat rawski"
527;"Powiat skierniewicki"
856;"Powiat m. Skierniewice"
4715;"Powiat kielecki"
2855;"Powiat konecki"
3151;"Powiat ostrowiecki"
3566;"Powiat skarżyski"
3385;"Powiat starachowicki"
4812;"Powiat m. Kielce"
1144;"Powiat buski"
1926;"Powiat jędrzejowski"
1007;"Powiat kazimierski"
2644;"Powiat opatowski"
1017;"Powiat pińczowski"
2264;"Powiat sandomierski"
1714;"Powiat staszowski"
1060;"Powiat włoszczowski"
3645;"Powiat bialski"
1033;"Powiat parczewski"
1743;"Powiat radzyński"
1796;"Powiat włodawski"
1780;"Powiat m. Biała Podlaska"
2156;"Powiat biłgorajski"
2855;"Powiat chełmski"
2950;"Powiat hrubieszowski"
2872;"Powiat krasnostawski"
2618;"Powiat tomaszowski"
3412;"Powiat zamojski"
1993;"Powiat m. Chełm"
2075;"Powiat m. Zamość"
3617;"Powiat lubartowski"
2692;"Powiat lubelski"
1235;"Powiat łęczyński"
1836;"Powiat świdnicki"
8916;"Powiat m. Lublin"
1882;"Powiat janowski"
3494;"Powiat kraśnicki"
1809;"Powiat łukowski"
2011;"Powiat opolski"
2395;"Powiat puławski"
1279;"Powiat rycki"
1142;"Powiat bieszczadzki"
3977;"Powiat brzozowski"
5052;"Powiat jasielski"
2239;"Powiat krośnieński"
2802;"Powiat sanocki"
1804;"Powiat leski"
778;"Powiat m. Krosno"
4626;"Powiat jarosławski"
1882;"Powiat lubaczowski"
3053;"Powiat przemyski"
3593;"Powiat przeworski"
2516;"Powiat m. Przemyśl"
1672;"Powiat kolbuszowski"
2671;"Powiat łańcucki"
2763;"Powiat ropczycko-sędziszowski"
4917;"Powiat rzeszowski"
3311;"Powiat strzyżowski"
5487;"Powiat m. Rzeszów"
2536;"Powiat dębicki"
3199;"Powiat leżajski"
2700;"Powiat mielecki"
3156;"Powiat niżański"
2007;"Powiat stalowowolski"
1325;"Powiat tarnobrzeski"
1125;"Powiat m. Tarnobrzeg"
3906;"Powiat białostocki"
2467;"Powiat sokólski"
7297;"Powiat m. Białystok"
893;"Powiat bielski"
1123;"Powiat hajnowski"
2246;"Powiat kolneński"
1000;"Powiat łomżyński"
896;"Powiat siemiatycki"
1549;"Powiat wysokomazowiecki"
1057;"Powiat zambrowski"
1588;"Powiat m. Łomża"
2138;"Powiat augustowski"
1822;"Powiat grajewski"
943;"Powiat moniecki"
968;"Powiat sejneński"
604;"Powiat suwalski"
1607;"Powiat m. Suwałki"
20889;"Powiat m. st. Warszawa"
2206;"Powiat legionowski"
2362;"Powiat miński"
1633;"Powiat otwocki"
5622;"Powiat wołomiński"
1158;"Powiat grodziski"
1943;"Powiat nowodworski"
2904;"Powiat piaseczyński"
1863;"Powiat pruszkowski"
1174;"Powiat warszawski zachodni"
2834;"Powiat ciechanowski"
1741;"Powiat mławski"
3261;"Powiat płoński"
2592;"Powiat pułtuski"
2034;"Powiat żuromiński"
2581;"Powiat makowski"
2958;"Powiat ostrołęcki"
2459;"Powiat ostrowski"
1650;"Powiat przasnyski"
1049;"Powiat wyszkowski"
1894;"Powiat m. Ostrołęka"
972;"Powiat białobrzeski"
2047;"Powiat kozienicki"
1458;"Powiat lipski"
2709;"Powiat przysuski"
7600;"Powiat radomski"
3084;"Powiat szydłowiecki"
1436;"Powiat zwoleński"
8200;"Powiat m. Radom"
1804;"Powiat gostyniński"
3417;"Powiat płocki"
2036;"Powiat sierpecki"
3688;"Powiat m. Płock"
3642;"Powiat garwoliński"
664;"Powiat łosicki"
1436;"Powiat siedlecki"
1089;"Powiat sokołowski"
1274;"Powiat węgrowski"
1578;"Powiat m. Siedlce"
1071;"Powiat grójecki"
939;"Powiat sochaczewski"
2368;"Powiat żyrardowski"
